joint_index,joint_name,min_torque_nm,max_torque_nm,mean_torque_nm,mean_abs_torque_nm,rms_torque_nm,peak_abs_torque_nm,effort_limit_nm,peak_abs_over_limit_pct
0,left_hip_pitch_joint,-38.2305,39.6653,-1.8238,7.5369,9.8406,39.6653,88.0000,45.07
1,right_hip_pitch_joint,-37.4120,26.4210,-1.4200,6.8514,8.3281,37.4120,88.0000,42.51
2,waist_yaw_joint,-21.4833,11.6983,0.0438,2.3672,3.0050,21.4833,88.0000,24.41
3,left_hip_roll_joint,-10.5448,41.9588,10.2973,11.2108,14.6483,41.9588,139.0000,30.19
4,right_hip_roll_joint,-39.4722,6.5978,-10.5210,12.1222,15.1502,39.4722,139.0000,28.40
5,waist_roll_joint,-12.7987,13.1898,0.2168,5.5909,6.0280,13.1898,35.0000,37.69
6,left_hip_yaw_joint,-21.3691,4.2852,-4.7431,5.2080,7.9625,21.3691,88.0000,24.28
7,right_hip_yaw_joint,-2.5150,34.6335,4.6960,5.4796,7.6387,34.6335,88.0000,39.36
8,waist_pitch_joint,-15.5873,19.8200,2.6385,3.0546,4.1331,19.8200,35.0000,56.63
9,left_knee_joint,-28.2449,8.7092,-7.0207,9.8625,12.2184,28.2449,139.0000,20.32
10,right_knee_joint,-49.2018,11.9401,-6.9658,9.9107,12.5222,49.2018,139.0000,35.40
11,left_shoulder_pitch_joint,-7.9144,11.2588,0.5100,2.2271,2.7997,11.2588,25.0000,45.04
12,right_shoulder_pitch_joint,-11.4349,10.4566,0.8509,2.0552,2.7974,11.4349,25.0000,45.74
13,left_ankle_pitch_joint,-17.5451,24.3402,3.9630,5.6709,8.5898,24.3402,35.0000,69.54
14,right_ankle_pitch_joint,-22.8217,21.5845,1.7141,5.8471,8.3597,22.8217,35.0000,65.20
15,left_shoulder_roll_joint,-3.0795,9.1924,1.5274,1.6356,2.0529,9.1924,25.0000,36.77
16,right_shoulder_roll_joint,-8.0886,2.6618,-1.6257,1.8038,2.1960,8.0886,25.0000,32.35
17,left_ankle_roll_joint,-6.3791,9.9007,1.7800,2.7553,3.8589,9.9007,35.0000,28.29
18,right_ankle_roll_joint,-8.9370,13.6445,-2.4108,3.1577,4.5215,13.6445,35.0000,38.98
19,left_shoulder_yaw_joint,-1.1487,1.8940,0.2903,0.3294,0.4535,1.8940,25.0000,7.58
20,right_shoulder_yaw_joint,-2.9740,0.8974,-0.3017,0.3816,0.4749,2.9740,25.0000,11.90
21,left_elbow_joint,-4.4588,3.5601,-0.4826,0.9485,1.1365,4.4588,25.0000,17.84
22,right_elbow_joint,-4.9283,2.7799,-0.3739,0.8236,1.0608,4.9283,25.0000,19.71
23,left_wrist_roll_joint,-0.2212,0.1932,-0.0006,0.0407,0.0573,0.2212,25.0000,0.88
24,right_wrist_roll_joint,-0.2237,0.2585,0.0004,0.0535,0.0709,0.2585,25.0000,1.03
25,left_wrist_pitch_joint,-1.2767,1.1569,-0.1146,0.2518,0.3045,1.2767,5.0000,25.53
26,right_wrist_pitch_joint,-1.4148,0.7651,-0.0923,0.2083,0.2775,1.4148,5.0000,28.30
27,left_wrist_yaw_joint,-0.2473,0.4736,0.0494,0.0708,0.0900,0.4736,5.0000,9.47
28,right_wrist_yaw_joint,-0.6461,0.2801,-0.0495,0.1032,0.1233,0.6461,5.0000,12.92
