frame,time_s,left_hip_pitch_joint,right_hip_pitch_joint,waist_yaw_joint,left_hip_roll_joint,right_hip_roll_joint,waist_roll_joint,left_hip_yaw_joint,right_hip_yaw_joint,waist_pitch_joint,left_knee_joint,right_knee_joint,left_shoulder_pitch_joint,right_shoulder_pitch_joint,left_ankle_pitch_joint,right_ankle_pitch_joint,left_shoulder_roll_joint,right_shoulder_roll_joint,left_ankle_roll_joint,right_ankle_roll_joint,left_shoulder_yaw_joint,right_shoulder_yaw_joint,left_elbow_joint,right_elbow_joint,left_wrist_roll_joint,right_wrist_roll_joint,left_wrist_pitch_joint,right_wrist_pitch_joint,left_wrist_yaw_joint,right_wrist_yaw_joint
51,0.020000,-20.494034,14.295597,7.559894,29.757973,1.734489,0.154704,-9.809011,-0.976067,-0.641524,-21.932053,7.428703,-3.839507,-10.736457,1.133251,-0.066992,-2.148309,-3.535087,8.919821,0.006440,-0.756595,-0.424263,-2.278185,-4.851029,-0.063137,-0.060817,-0.584516,-1.289533,-0.068852,-0.127164
52,0.040000,-29.467503,18.396362,7.488020,29.472647,1.674256,-1.071465,-7.010972,-0.599037,2.560621,-25.907558,7.458116,-3.473581,-11.434914,2.550549,-0.052245,-3.079507,-4.025664,8.106278,-0.012885,-1.148735,-0.744251,-2.488532,-4.928251,-0.058881,-0.073894,-0.684345,-1.307377,-0.181803,-0.237629
53,0.060000,-35.636436,23.632669,7.914088,29.544029,1.492579,-1.077302,-4.656195,-0.457365,3.638191,-26.275227,10.730923,-1.872603,-10.847688,3.900571,0.214844,-2.508255,-3.917455,7.753926,-0.016102,-0.975347,-0.841288,-1.985070,-4.707980,-0.052499,0.008959,-0.562875,-1.272093,-0.181484,-0.274211
54,0.080000,-38.213814,26.421001,9.798875,26.789257,0.441774,-0.382020,-4.048007,-0.014298,4.338977,-24.156969,11.940084,0.411851,-9.572575,4.480861,0.390142,-1.401357,-3.613447,6.769022,-0.027264,-0.616724,-0.735353,-1.003775,-4.293488,-0.002568,0.051757,-0.341869,-1.132410,-0.161573,-0.257054
55,0.100000,-38.230507,25.942257,11.321210,23.565557,-0.091064,0.804472,-4.269041,0.267900,5.683675,-22.011547,11.533346,2.779499,-7.983154,4.786371,0.439566,-0.214268,-3.155226,5.589783,-0.020813,-0.209190,-0.564875,0.044240,-3.664257,0.015212,0.035424,-0.061093,-0.953063,-0.103830,-0.206921
56,0.120000,-37.941704,23.942476,11.698327,21.438251,0.858925,2.187798,-5.456573,-0.164848,7.614719,-21.345224,11.058074,3.878314,-6.081488,5.069777,0.466214,0.934908,-2.966339,4.669036,0.003081,0.244298,-0.499049,0.706267,-2.849345,0.002470,0.006134,0.192110,-0.742296,-0.002939,-0.132396
57,0.140000,-36.553417,19.083849,10.880102,20.592459,2.265586,3.589279,-7.268792,-0.729641,10.428385,-21.584574,9.316469,4.284069,-4.058476,5.556080,0.392728,2.102110,-2.462527,4.195207,0.050846,0.631939,-0.371907,1.027415,-1.953476,-0.019930,0.020463,0.349867,-0.471750,0.051916,-0.037236
58,0.160000,-33.709900,13.701292,9.861936,20.143570,2.698017,4.554343,-8.320705,-0.841530,12.961259,-19.755281,7.477336,4.959128,-1.692636,6.970038,0.244022,3.084159,-1.796318,3.740200,0.112968,0.903975,-0.191685,1.364499,-1.093311,-0.011930,0.038454,0.464222,-0.224910,0.076901,0.067341
59,0.180000,-27.393015,6.647064,8.250240,19.600080,1.653581,4.610407,-8.323628,-0.267138,14.519043,-15.303875,4.735639,5.601709,1.086947,9.907598,-0.038630,3.729945,-1.571656,1.661293,0.147142,1.106326,-0.217359,1.777849,-0.129669,0.021428,0.036365,0.536344,0.031219,0.114162,0.096894
60,0.200000,-15.859763,-3.016576,5.643876,19.415392,0.952806,5.116005,-7.928910,-0.428304,14.952209,-7.609263,2.826877,6.814096,4.291040,13.058441,-0.171790,4.052095,-1.331423,-1.699105,0.195044,1.283643,-0.139797,2.439289,1.224105,0.000489,0.048901,0.662903,0.318322,0.137298,0.085446
61,0.220000,-2.148511,-10.187927,3.737606,18.222368,-2.464981,6.510130,-6.941198,1.109342,12.588148,2.317881,1.403744,9.404011,6.774845,15.902396,-0.112066,4.500970,-0.529025,-5.581446,0.191778,1.353350,0.031420,3.514191,2.268348,-0.017498,0.064065,0.985335,0.577575,0.091510,0.110357
62,0.240000,-0.979473,1.827904,2.630367,10.435266,-24.388115,-2.163120,-2.465472,12.066641,7.789241,7.834857,-17.308708,11.258840,8.174512,19.091425,-20.716831,5.914773,0.944148,-3.642168,-0.007415,1.496159,0.258748,3.560131,2.268604,0.004661,0.109801,1.156914,0.508429,0.153235,0.261988
63,0.260000,-6.763262,10.617373,3.040903,3.735950,-36.152130,-2.740108,0.227204,21.651051,3.913633,1.738739,-27.691118,10.989092,8.293491,13.269501,-22.821743,7.463799,0.051558,-2.604425,0.812808,1.871100,-0.170030,3.077163,1.066946,0.134920,-0.130119,0.938903,0.258180,0.275598,0.091135
64,0.280000,-9.627602,13.224356,3.225876,3.355783,-36.701111,-6.013744,-0.937147,25.919659,2.214722,-3.679571,-33.388218,6.422036,7.689870,-0.547944,-20.422604,6.345853,-0.888062,0.312246,0.850964,1.865475,-0.255582,1.627723,1.636551,0.072739,0.033595,0.452102,0.263438,0.247043,-0.234070
65,0.300000,-6.715915,10.065254,2.680685,3.960373,-37.378849,-4.553631,-1.850180,25.349421,0.805350,-2.967613,-30.033957,2.585567,4.804664,-0.776247,-20.365866,3.594990,-1.018316,0.059688,-1.135814,0.917772,-0.032197,0.093305,1.490878,0.074137,0.015054,-0.017236,0.377701,0.007531,-0.043600
66,0.320000,-9.221329,11.051475,1.112942,3.297823,-28.940376,-3.940808,-1.710459,20.309744,-0.516991,-6.263596,-22.561375,-0.490907,1.088108,-0.268714,-17.516308,0.737637,-0.384669,-0.092206,-1.519078,0.157626,-0.098986,-1.219038,0.276720,0.124645,-0.005132,-0.210441,0.174591,-0.018612,-0.078102
67,0.340000,-8.775980,10.367496,-1.128873,2.432769,-22.532751,-4.656337,-1.156533,16.522253,-1.685665,-6.741270,-15.609572,-2.846696,-0.788395,-0.219687,-12.970533,-1.282018,-0.709218,-0.145204,-2.106408,-0.318129,-0.175650,-2.149360,-0.816673,0.018438,-0.026560,-0.436280,-0.174751,0.029777,-0.198614
68,0.360000,-4.325726,7.359543,-3.102489,1.359412,-19.837961,-5.560651,-0.552001,13.987748,-3.776671,-4.843217,-14.524094,-4.798656,-1.417703,-0.130468,-10.717409,-1.655895,-1.501397,-0.119576,-2.803537,-0.485271,-0.314802,-2.867633,-1.537544,-0.066385,0.002288,-0.738874,-0.468105,0.013622,-0.170129
69,0.380000,1.352681,2.330474,-4.893345,0.842996,-19.684164,-6.082724,-0.432246,13.118757,-4.564054,-0.943233,-14.806030,-5.696133,-1.660261,0.063644,-9.786654,-0.669201,-1.965780,-0.062774,-3.925064,-0.393580,-0.469016,-3.180838,-1.611046,-0.050664,0.042504,-0.954359,-0.500618,0.046316,-0.057997
70,0.400000,4.791120,-0.573070,-6.614114,-1.017722,-20.839983,-6.088922,0.587348,13.885602,-4.869752,2.447398,-16.824125,-6.772038,-0.745340,0.244393,-9.020332,0.674483,-1.877603,-0.071755,-4.730331,-0.101054,-0.496957,-3.244495,-1.103209,-0.019038,-0.038983,-0.930226,-0.277629,0.075936,-0.094506
71,0.420000,5.325744,-1.928709,-7.493241,-2.010038,-21.331226,-5.915417,1.337342,13.728890,-4.301761,3.270890,-18.171295,-7.815091,0.701757,0.224992,-8.658616,1.603937,-1.290395,-0.092210,-4.954815,0.258960,-0.235529,-3.460274,-0.438143,-0.002694,-0.089254,-0.929092,-0.069939,0.184152,-0.091828
72,0.440000,5.706411,-3.854502,-7.194802,-1.579247,-20.849743,-5.662752,0.931600,12.767628,-3.047907,3.784333,-18.847921,-7.553901,1.380483,0.068048,-7.896086,2.214996,-0.468909,-0.059565,-5.212432,0.454108,0.068793,-3.469369,-0.015758,-0.037154,-0.062291,-0.892722,0.043970,0.227593,0.004092
73,0.460000,6.434540,-6.656015,-7.893801,-1.335536,-19.487391,-5.865980,0.854670,12.155969,-1.416399,4.200311,-19.421677,-6.674849,1.559832,-0.069008,-6.245962,2.228216,-0.287951,-0.027515,-5.746718,0.415503,0.038471,-3.139900,0.014330,-0.060087,0.001170,-0.739267,0.036596,0.142682,0.038866
74,0.480000,5.807274,-7.887999,-8.043218,-1.457557,-18.177605,-6.313553,0.873136,11.725043,0.217166,3.843390,-19.582468,-5.642347,2.293617,-0.151723,-4.711663,1.968079,-0.675781,-0.016244,-6.425020,0.329945,-0.107356,-2.638117,0.153061,-0.074643,0.013903,-0.617027,0.052130,0.100705,0.023284
75,0.500000,4.125999,-8.064659,-7.759998,-1.289516,-17.545383,-7.130641,0.710449,12.049989,1.982409,3.531593,-20.005901,-4.354684,3.015510,-0.162483,-3.416744,1.721658,-1.081430,-0.014464,-7.444478,0.231521,-0.187428,-2.079674,0.321308,-0.062161,0.008795,-0.548550,0.075420,0.077788,0.011450
76,0.520000,1.855637,-7.615895,-7.312689,-1.035675,-17.843620,-7.761571,0.643696,12.608386,3.648628,3.434705,-20.301895,-3.283683,3.234244,-0.169864,-2.553463,1.598238,-1.142983,-0.012204,-8.561608,0.137638,-0.154548,-1.663283,0.370955,-0.036758,-0.012002,-0.484383,0.074588,0.048023,0.012937
77,0.540000,-0.977827,-5.986667,-6.228271,-1.126169,-18.243950,-7.965497,0.671083,12.979300,4.815724,3.174782,-19.967215,-2.275153,3.010801,-0.215704,-2.200473,1.707190,-1.013649,-0.006904,-8.930564,0.183047,-0.082442,-1.358493,0.323202,-0.028945,-0.027424,-0.421189,0.080903,0.031976,0.002712
78,0.560000,-3.965175,-3.891725,-3.795487,-2.121036,-18.009581,-7.791340,1.190917,11.720215,5.565906,2.767654,-19.231674,-0.816744,1.783766,-0.273590,-2.329241,1.755350,-0.839100,-0.000318,-8.531053,0.257488,-0.030970,-0.903495,-0.003863,-0.015011,-0.023244,-0.309534,0.007280,0.045786,-0.034301
79,0.580000,-5.962740,-2.765866,-1.143669,-3.074515,-17.424364,-7.780664,1.571863,9.953779,6.193364,2.657263,-18.962006,1.051719,0.276221,-0.337509,-2.621172,1.687930,-1.167876,0.005713,-7.861800,0.225736,-0.154347,-0.325177,-0.521272,0.006056,-0.029253,-0.132144,-0.115841,0.030032,-0.067706
80,0.600000,-6.966449,-2.891158,1.013247,-3.413152,-17.713564,-8.108235,1.734812,8.299180,6.916338,2.856144,-19.266693,2.634407,-0.914770,-0.410104,-2.234509,1.575739,-1.707309,0.006599,-7.037671,0.153609,-0.356144,0.255682,-0.984407,-0.007137,-0.040447,0.061109,-0.182817,-0.035171,-0.087348
81,0.620000,-6.752932,-3.947422,2.493880,-2.577431,-20.655312,-8.326734,1.274167,6.973885,7.365361,3.385100,-19.100670,3.462808,-1.670572,-0.469521,0.369461,1.596051,-2.203714,0.016819,-6.089188,0.155251,-0.504464,0.570452,-1.355193,-0.026529,-0.030049,0.176151,-0.236700,-0.073004,-0.086757
82,0.640000,-4.323749,-5.875408,2.450097,0.561141,-25.425816,-7.754200,-0.217234,6.647905,6.822736,4.593312,-17.496557,3.188815,-1.732457,-0.435255,4.777171,1.934358,-2.317640,0.026861,-4.641954,0.247052,-0.529385,0.491490,-1.434313,-0.027344,-0.041709,0.151741,-0.277134,-0.035389,-0.083701
83,0.660000,0.316216,-7.569309,1.359558,3.401033,-27.474190,-6.061283,-1.092150,5.636587,4.838972,6.343106,-13.722900,2.216609,-0.695116,-0.253035,8.429168,2.045436,-2.076323,0.002626,-2.453431,0.321738,-0.526873,0.279493,-0.819466,-0.020403,-0.055693,0.064502,-0.161088,0.028225,-0.101035
84,0.680000,4.566667,-8.872179,-4.186114,11.948711,-19.179823,0.162114,-6.037267,1.539235,2.412920,-11.394674,-2.470079,0.017285,2.535506,-6.877587,11.989185,1.601156,-2.681442,-2.140237,1.285809,0.282471,-0.784242,-0.381964,0.477823,0.064993,-0.023945,-0.029116,0.085139,0.078461,-0.165990
85,0.700000,12.410518,-10.943239,-5.385467,22.633493,-4.762382,10.774697,-14.877961,-0.164099,1.164059,-28.244915,4.309958,0.875196,5.448983,-11.027496,14.286987,1.698838,-3.527075,-1.405687,3.269012,0.446253,-0.710206,-0.980862,0.907146,0.084090,0.089819,-0.242315,0.007206,0.224181,-0.265324
86,0.720000,15.765095,-14.030002,-2.458002,22.127007,-2.170549,12.128757,-19.166073,0.028656,1.555922,-19.419369,0.334820,3.573594,5.148533,-7.205339,8.198283,2.508224,-2.781951,-0.534970,1.874454,0.660226,-0.396663,-0.164388,1.005182,0.133220,0.188212,-0.165617,0.129520,0.246970,-0.165109
